bgg_id,name,year,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,cooperative,compilation,compilation_of,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id,game_type,designer,artist,mechanic,category,family,publisher,avg_time
225051,Assassin's Guild,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,,,15.0,30.0,,,,,,,1.0,10.0,,,,,,,,,,,,Jamie Jolly,,,,,(Self-Published),
225053,Meeple Factory,2017.0,3.0,8.0,3.0,8.0,3.0,8.0,,,60.0,90.0,,,,,,,,,,,,,,,,,,,,Jamie Jolly,,,,,(Self-Published),
225054,Disposable Heroes II,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,12.0,,120.0,120.0,,,,19145,,,9.0,8.33333,1.33333,,2.0,,,,,,,,,Keith Stine,,,,Series: Disposable Heroes Miniature Rules (Iron Ivan Games),,120.0
225057,Politics: The Debate,2017.0,2.0,10.0,2.0,10.0,2.0,10.0,12.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,PD Blanchard,PD Blanchard,,,,(Web published),
225062,Anomia X,2017.0,3.0,6.0,3.0,6.0,3.0,6.0,17.0,,30.0,60.0,,,,67877,376217,7592.0,185.0,6.80279,1.52216,5.60784,1.0,,,,,,,,,Andrew Innes,Andrew Innes,Pattern Recognition,,,,45.0
225064,Berd strategy game,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,,3.0,15.0,,,,,,,2.0,9.0,,,,,,,,,,,,Michael Mikaelian (II),,,,Players: Two Player Only Games,(Self-Published),
225079,Zombie Labyrinth,2016.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,15.0,15.0,,,,,,,22.0,4.79545,1.26724,,1.0,,,,,,,,,,,,,,Tactic,15.0
225082,Montecuccoli on the Raab,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,,75.0,120.0,,,,,,,22.0,7.82727,1.32259,,2.5,,,,,,,,War Game,Paolo Carraro,Nicola Carpentieri,,,,Aleph Game Studio,97.5
225083,Dark Ages Britannia,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,,60.0,150.0,,,,,,,24.0,7.63333,1.11193,,2.0,,,,,,,,War Game,,,,,,WBS Games,105.0
225084,Winged Victory: Among the Clouds Above,2017.0,1.0,8.0,1.0,8.0,1.0,8.0,15.0,,30.0,180.0,,,,,,10748.0,56.0,8.04107,1.53644,5.55464,2.7143,,,,,,,,War Game,Carlo Amaddeo,Carlo Amaddeo,,,,WBS Games,105.0
225085,Bezzerwizzer Familie,2016.0,2.0,,2.0,,2.0,,10.0,,45.0,45.0,,,,35137,,,21.0,5.79048,1.58772,,1.0,,,,,,,,,,,Betting and Bluffing,,Game: Bezzerwizzer,Bezzerwizzer ApS,45.0
225094,Riddler,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,8.0,,10.0,30.0,,,,,,,8.0,6.575,1.91752,,,,,,,,,,,Krzysztof Matusik,Krzysztof Matusik,Open Drafting,,,Tailor Games,
225099,Commissioner Victor: Case of Missing Alfred Worthapenny,2017.0,2.0,4.0,2.0,4.0,2.0,4.0,10.0,,10.0,25.0,,,,,199530,,5.0,7.0,0.632456,,1.0,,,,,,,,,Krzysztof Matusik,Krzysztof Matusik,,,,Tailor Games,17.5
225135,Vs System 2PCG: Monsters Unleashed!,2017.0,2.0,4.0,2.0,4.0,2.0,4.0,12.0,,20.0,60.0,,,,,"194532,200672,189610,178892,225136",13410.0,33.0,7.81818,1.34174,5.5333,2.0,,,,,,,,,,,,,,Upper Deck Entertainment,40.0
225136,Vs System 2PCG: The Predator Battles,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,,30.0,30.0,,,,,"194532,225135,200672,265227,189610,178892,386103",,24.0,7.58333,1.77756,,2.0,,,,,,,,,,,,,,Upper Deck Entertainment,30.0
225137,Friendly Farmers,2016.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,20.0,60.0,,,,,,,,,,,,,,,,,,,,Peter Gray,Peter Gray,,,Contests: Children's Game PNP Design,(Web published),
225140,Dixon to Carrier: Scratch One Flattop,2017.0,1.0,4.0,1.0,4.0,1.0,4.0,13.0,,20.0,30.0,1.0,,,,,,3.0,6.66667,1.24722,,1.0,,,,,,,,,Esteban Fernandez,Tim Allen,,,Region: Coral Sea,Victory Point Games,25.0
225144,Magic Hat,2016.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,,15.0,20.0,,,,,,,10.0,7.75333,1.12588,,1.0,,,,,,,,,,Masha Sergeeva,Memory,,,,17.5
225149,TRIPLEX: the 3D Strategy Board Game,2014.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,5.0,20.0,,,,,,,,,,,,,,,,,,,,,,,Abstract Strategy,,(Self-Published),
225163,Reworld,2017.0,2.0,4.0,2.0,4.0,2.0,4.0,12.0,,50.0,90.0,,,,,,4034.0,727.0,6.66614,1.34316,5.81143,2.6458,,,,,,,,Strategy Game,,Michael Menzel,,Science Fiction,,,70.0
225164,Card Clash,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,,5.0,20.0,,,,,,,,,,,,,,,,,,,,Robbie Antenesse,,,,Players: Two Player Only Games,(Web published),
